Simulation Data generated by HPSim Mar-23-2005 21:35:23;
Count/ Steps;Time/ ms;P9;Pegel;Einsatzstoff;Ventil 02;Antrieb Rührer;LIS 02;Dampf;Kühlwasser;Heizung;Kühlung;TIS 01;TIS 02;Temperatur;P115;P116;P117;P118;P119;P120;P121;P122;P123;P124;Start;Automatik ein;Füllen;Reaktion;Kühlen;Leeren;Heizen;UV 02 auf;M 01 ein;UV 03 auf;UV 02 zu;UV 03 zu;UV 01 auf;UV 01 zu;M 01 aus;UV 04 auf;UV 04 zu;P75;P77;P79;P80;P82;P84;Zyklusende;Zyklusanfang;P87;LIS 01;LIS 02;TIS 02;TIS 01;P92;Stop;LIS 01;
25;15;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
26;15;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
27;16;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
28;17;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
29;18;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
30;19;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
31;20;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
32;20;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
33;20;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
34;20;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
35;21;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
36;22;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
37;23;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
38;24;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
39;25;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
40;25;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
41;25;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
42;25;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
43;26;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
44;27;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
45;28;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
46;29;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
47;30;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
48;30;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
49;30;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
50;30;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
51;31;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
52;32;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
53;33;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
54;34;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
55;35;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
56;35;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
57;35;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
58;35;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
59;36;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
60;37;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
61;38;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
62;39;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
63;40;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
64;40;0;0;1;0;1;1;1;1;0;0;0;1;3000;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
